price,latitude,longitude,surface_area,num_of_room,floor,num_floors_in_building,finish_condition,form_of_property,balcony_garden_terrace,parking_space,heating
548000,52.3905709,20.923325,52.9,1,5,9,for living,full ownership,Balcony,,municipal
610000,52.1877542,21.0173052,27.0,4,1,4,for living,cooperative ownership right to the premises,"Garage, Elevator, Terrace",garage/parking space,municipal
609000,52.28983,21.11357,56.0,3,0,4,for living,full ownership,Terrace,,municipal
2900000,52.1334105,21.0484161,157.0,3,1,2,for living,full ownership,Laundry,garage/parking space,gas
1059999,52.2810169,20.9418605,47.0,2,3,4,for living,full ownership,Elevator,,municipal
1690000,52.2565581,20.9643619,60.45,4,0,,for living,full ownership,Balcony,garage/parking space,
990000,52.1560823,21.0833294,45.28,1,1,4,for living,full ownership,Laundry,,gas
2790000,52.1704045,21.0716279,135.62,2,,,for living,,"Laundry, Elevator, Garage",garage/parking space,
695000,52.158905,21.0664378,35.0,1,0,4,for living,full ownership,Elevator,,
2280000,52.18126,21.01737,109.2,5,7,7,for living,,"Garage, Terrace",garage/parking space,municipal
1740000,52.2552,21.04665,58.8,4,3,5,for living,full ownership,"Elevator, Terrace",,municipal
1161000,52.2352583,20.994393,32.89,4,11,16,for finishing,full ownership,"Garage, Balcony",garage/parking space,
1632000,52.224968,21.012169,68.0,5,3,6,for living,full ownership,"Laundry, Terrace",,municipal
1398000,52.1516891,21.1938941,100.0,2,0,,for living,full ownership,"Garage, Elevator, Terrace",garage/parking space,electric
1185000,52.2257689,21.0260328,45.17,3,0,3,for renovation,full ownership,Terrace,,municipal
585000,52.2130634,20.9792001,26.0,1,7,8,for living,full ownership,Terrace,,municipal
1580000,52.2369406,21.0841386,115.0,4,4,5,for living,full ownership,Balcony,garage/parking space,municipal
1320826,52.1581267,21.0830132,66.26,4,1,4,for finishing,full ownership,Garage,garage/parking space,
899999,52.45424,21.01285,37.33,1,2,,,,"Balcony, Elevator",,
2899000,52.19696,21.02195,103.07,5,2,4,for living,full ownership,Terrace,,municipal
650000,52.23594,21.00768,20.13,3,0,15,for living,full ownership,Garage,,municipal
4200000,52.19696,21.02195,145.87,2,2,4,for living,full ownership,"Garage, Balcony",,municipal
1829000,52.19696,21.02195,67.63,2,0,4,for living,full ownership,"Laundry, Balcony",,municipal
4400000,52.19696,21.02195,149.33,3,3,4,for living,full ownership,Elevator,,municipal
859000,52.22706,20.95426,37.5,2,5,12,for finishing,,"Laundry, Elevator",garage/parking space,municipal
889000,52.24309,21.0852,47.07,3,7,19,for living,full ownership,Laundry,garage/parking space,municipal
1999999,52.19696,21.02195,73.0,4,0,4,for living,full ownership,"Laundry, Elevator, Balcony",,municipal
1050000,52.22693,20.95561,38.27,2,10,27,for living,full ownership,"Balcony, Terrace",,municipal
1224000,52.19696,21.02195,44.63,5,0,4,for living,full ownership,"Laundry, Garage",,municipal
550000,52.1686958,20.7695986,54.0,2,0,2,for finishing,full ownership,"Balcony, Terrace, Elevator",garage/parking space,electric
