time_scraping,otodom_id,price,title,surface_area,num_of_room,floor,form_of_property,finish_condition,balcony_garden_terrace,parking_space,heating,ad_link,map_link
2024-06-06 01:35:20,duza-przytulna-kawalwerka-48m2-garaz-sadyba-ID4pxak,759 000 zł,Duża Przytulna kawalwerka 48m2/Garaż/Sadyba,"48,3 m²",,2/3,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,gazowe,https://www.otodom.pl/pl/oferta/duza-przytulna-kawalwerka-48m2-garaz-sadyba-ID4pxak,"https://www.google.com/maps/@52.1904879,21.0400645,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:35:25,apartament-wilanow-zawady-3-pok-74-57-mkw-ID4qM5E,1 340 000 zł,Apartament Wilanów Zawady - 3 pok. 74.57 mkw,"74,57 m²",,1/2,pełna własność,do wykończenia,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/apartament-wilanow-zawady-3-pok-74-57-mkw-ID4qM5E,"https://www.google.com/maps/@52.1616086,21.1246899,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:35:30,ii-etap-budowy-oddanie-do-uzytkowania-xii-2025r-ID4qWAz,990 000 zł,"II etap budowy, oddanie do użytkowania XII 2025r.",126 m²,,parter/1,pełna własność,do wykończenia,,garaż/miejsce parkingowe,inne,https://www.otodom.pl/pl/oferta/ii-etap-budowy-oddanie-do-uzytkowania-xii-2025r-ID4qWAz,"https://www.google.com/maps/@52.1339835,20.929634,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:35:34,wyjatkowe-jasne-przestronne-mieszkanie-z-balkonem-ID4qWAr,1 348 000 zł,Wyjątkowe jasne przestronne mieszkanie z balkonem,"111,74 m²",,1/4,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/wyjatkowe-jasne-przestronne-mieszkanie-z-balkonem-ID4qWAr,"https://www.google.com/maps/@52.1557377,20.7871675,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:35:39,mokotow-stegny-56-m2-cicho-zielono-ID4qR8l,758 700 zł,Mokotów Stegny 56 m2 cicho zielono,"56,2 m²",,10/11,,do remontu,,,miejskie,https://www.otodom.pl/pl/oferta/mokotow-stegny-56-m2-cicho-zielono-ID4qR8l,"https://www.google.com/maps/@52.1748861,21.0535933,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:35:43,kup-i-zarabiaj-gotowy-lokal-w-pelni-wyposazony-ID4qWAh,450 000 zł,"Kup i zarabiaj! Gotowy lokal, w pełni wyposażony.",18 m²,,4/27,pełna własność,do zamieszkania,,,miejskie,https://www.otodom.pl/pl/oferta/kup-i-zarabiaj-gotowy-lokal-w-pelni-wyposazony-ID4qWAh,"https://www.google.com/maps/@52.2279436,20.9586224,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:35:48,67-120-m2-na-placu-konstytucji-ID4qWAd,1 750 000 zł,67/120 m2 na Placu Konstytucji,120 m²,,6/6,,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/67-120-m2-na-placu-konstytucji-ID4qWAd,"https://www.google.com/maps/@52.221825,21.0159215,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:35:52,przytulne-i-sloneczne-mieszkanie-2-pokoje-kuchnia-ID4qWA8,949 900 zł,"Przytulne i słoneczne mieszkanie 2 pokoje, kuchnia","45,42 m²",,4/4,pełna własność,do zamieszkania,,,,https://www.otodom.pl/pl/oferta/przytulne-i-sloneczne-mieszkanie-2-pokoje-kuchnia-ID4qWA8,"https://www.google.com/maps/@52.2180609,20.9728347,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:35:57,studio-z-duzym-balkonem-piekny-widok-z-11-pietra-ID4q1h8,499 000 zł,STUDIO z dużym balkonem | Piękny widok z 11 piętra,"18,1 m²",,> 10/27,pełna własność,do zamieszkania,,,miejskie,https://www.otodom.pl/pl/oferta/studio-z-duzym-balkonem-piekny-widok-z-11-pietra-ID4q1h8,"https://www.google.com/maps/@52.2271373,20.955678,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:36:02,bezposrednio-sprzedam-mieszkanie-62-56-mkw-kabaty-ID4pRz8,1 050 000 zł,"BEZPOŚREDNIO sprzedam mieszkanie 62,56 mkw KABATY","62,56 m²",,1/5,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/bezposrednio-sprzedam-mieszkanie-62-56-mkw-kabaty-ID4pRz8,"https://www.google.com/maps/@52.1377396,21.0643906,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
