price,latitude,longitude,surface_area,num_of_room,floor,num_floors_in_building,finish_condition,form_of_property,balcony_garden_terrace,parking_space,heating
980000,52.1579656,21.0352839,67.4,3,3,3,for living,,Balcony,,municipal
2880000,52.2250347,21.0212362,101.41,2,1,7,for living,full ownership,,garage/parking space,municipal
1475000,52.2063152,21.017008,82.12,3,4,4,,full ownership,,,
729000,52.21131,20.96646,60.4,3,5,10,for renovation,,Balcony,,municipal
1090050,52.1356808,21.0673293,55.9,2,1,4,for living,full ownership,Balcony,garage/parking space,municipal
,52.2389401,21.1375229,65.19,3,1,5,for finishing,full ownership,Balcony,garage/parking space,
,52.0967613,21.0446222,59.36,3,3,3,for finishing,full ownership,Balcony,garage/parking space,
729000,52.21131,20.96646,60.4,3,5,10,for renovation,,Balcony,,municipal
840000,52.2995032,21.0663475,56.0,3,8,12,for living,,Balcony,,municipal
899000,52.2870644,21.0829522,57.31,2,3,4,for living,full ownership,"Balcony, Terrace",garage/parking space,municipal
844000,52.2251321,20.9741461,34.32,2,2,6,for finishing,full ownership,,garage/parking space,
411100,52.2584405,21.1268743,25.62,1,3,5,for finishing,full ownership,Balcony,garage/parking space,
450000,52.31274,21.07298,28.57,1,0,3,,full ownership,"Balcony, Garden",garage/parking space,municipal
735900,52.0822581,21.0049943,67.23,3,1,3,for finishing,full ownership,Balcony,garage/parking space,
1370000,52.29332,20.92866,50.15,2,9,10,for living,full ownership,"Balcony, Terrace",garage/parking space,municipal
545000,52.2279436,20.9586224,18.0,1,12,28,for living,full ownership,"Balcony, Terrace",,municipal
1150000,52.2189501,21.0199084,49.0,3,3,5,for finishing,full ownership,Balcony,,municipal
1380000,52.1860343,21.0135451,79.0,3,9,10,,full ownership,Balcony,,municipal
840000,52.1764506,20.9935391,37.58,2,12,12,for living,full ownership,"Balcony, Terrace",,municipal
820800,52.1868097,21.0632892,41.04,2,2,11,for finishing,full ownership,Balcony,garage/parking space,
2173000,52.2342687,20.9786038,83.6,4,3,6,,full ownership,"Balcony, Terrace",garage/parking space,municipal
1195000,52.1693391,21.1105575,39.0,2,3,4,for living,full ownership,Balcony,garage/parking space,
620000,52.2306968,21.110463,32.3,1,8,13,for living,full ownership,Balcony,,municipal
1037000,52.2507712,21.0337297,49.15,3,3,7,for finishing,full ownership,,garage/parking space,
469000,52.4365171,20.7003135,40.0,2,3,4,for living,full ownership,Balcony,,municipal
,52.1887704,20.9438935,50.54,3,0,5,for finishing,full ownership,Garden,garage/parking space,
980750,52.24892,21.19751,78.46,4,1,1,,full ownership,"Balcony, Terrace",garage/parking space,other
1199000,52.18748,21.0611,60.5,2,7,9,for living,full ownership,,,municipal
539000,52.1814651,20.9764218,26.5,1,1,4,for living,,,garage/parking space,municipal
690000,52.1570348,21.0526075,47.9,2,0,2,for renovation,cooperative ownership right to the premises,Balcony,garage/parking space,municipal
737490,52.2941884,20.8828739,56.73,3,1,2,for finishing,full ownership,Balcony,garage/parking space,
,52.1748808,20.7997422,52.82,3,1,3,for finishing,full ownership,Terrace,garage/parking space,
,52.1987396,21.0818246,76.45,4,1,6,for finishing,full ownership,Balcony,garage/parking space,
